Latitude,Longitude,Class,ClassCode
25.51621083,78.5244051,Wheat,1
25.51912338,78.52209739,Wheat,1
25.52417826,78.51945307,Settlements,7
25.52377677,78.51469953,Barren Land,8
25.52287666,78.5137108,Wheat,1
25.52431501,78.51268284,Wheat,1
25.52406178,78.50962278,Wheat,1
25.52500847,78.50591864,Wheat,1
25.52610461,78.50492086,Wheat,1
25.52611913,78.50159694,Wheat,1
25.52530406,78.50145243,Wheat,1
25.5257358,78.4966268,Wheat,1
25.52567589,78.49585131,Wheat,1
25.52642017,78.49262495,Wheat,1
25.52668762,78.48809503,Wheat,1
25.52820519,78.48918602,Wheat,1
25.52680168,78.4847996,Wheat,1
25.52482693,78.48203324,Wheat,1
25.52394711,78.48223105,Wheat,1
25.5213091,78.47948648,Wheat,1
25.52027857,78.4800769,Wheat,1
25.51771038,78.47877402,Wheat,1
25.51542565,78.47782183,Wheat,1
25.50859812,78.47365905,Water,11
25.51058856,78.473996,Water,11
25.50653986,78.47438559,Settlements,7
25.50456781,78.47441744,Wheat,1
25.50461713,78.47360875,Settlements,7
25.49830314,78.47185593,Wheat,1
25.49777719,78.47312864,Wheat,1
25.49549601,78.47111095,Wheat,1
25.49203482,78.47107206,Wheat,1
25.48821701,78.46845724,Wheat,1
25.48853751,78.46817762,Wheat,1
25.48890855,78.46858062,Wheat,1
25.48505009,78.4687848,Wheat,1
25.48029744,78.46625917,Wheat,1
25.47714181,78.46687105,Wheat,1
25.47580762,78.46473299,Wheat,1
25.47380661,78.46428774,Wheat,1
25.46482906,78.46532442,Wheat,1
25.4588947,78.46290741,Settlements,7
25.45867463,78.46490029,Settlements,7
25.45566586,78.46163437,Barren Land,8
25.45062899,78.45328163,Wheat,1
25.4474856,78.44550356,Wheat,1
25.4463294,78.4459535,Wheat,1
25.44641871,78.44305538,Wheat,1
25.44462945,78.44368603,Wheat,1
25.44310143,78.4403212,Wheat,1
25.44344264,78.43843125,Wheat,1
25.44187162,78.43779892,Wheat,1
25.44314927,78.43627945,Wheat,1
25.44150165,78.43184844,Mustard,2
25.43980586,78.43136597,Wheat,1
25.43973532,78.42242952,Wheat,1
25.43801438,78.42207782,Wheat,1
25.43858964,78.4174205,Wheat,1
25.43714028,78.41807228,Wheat,1
25.43585681,78.41632079,Wheat,1
25.43379943,78.41030426,Wheat,1
25.42663146,78.39718927,Wheat,1
25.42062679,78.39208134,Wheat,1
25.42068341,78.39033823,Wheat,1
25.41379933,78.38553742,Wheat,1
25.41126187,78.38527858,Wheat,1
25.40782188,78.38377051,Wheat,1
25.40829493,78.38681985,Wheat,1
25.4065914,78.38754471,Wheat,1
25.40542512,78.39219868,Wheat,1
25.40180749,78.39466598,Wheat,1
25.39720511,78.39688048,Wheat,1
25.3962144,78.39599401,Wheat,1
25.39164028,78.39885157,Wheat,1
25.39053413,78.40192303,Wheat,1
25.38774932,78.4051276,Wheat,1
25.38651076,78.40443794,Wheat,1
25.38402786,78.41133658,Wheat,1
25.38931075,78.39651972,Wheat,1
25.37893498,78.39903161,Mustard,2
25.37646768,78.40126019,Barren Land,8
25.3738943,78.40279676,Barren Land,8
25.37226239,78.40277832,Mustard,2
25.36861104,78.40280749,Wheat,1
25.36814329,78.40109926,Wheat,1
25.35229542,78.40722542,Settlements,7
25.3481714,78.40836,Wheat,1
25.33933387,78.40797242,Wheat,1
25.33749575,78.41222942,Wheat,1
25.33604456,78.41271657,Wheat,1
25.33633698,78.41442883,Barren Land,8
25.33491214,78.41810144,Wheat,1
25.33582668,78.41890208,Barren Land,8
25.33377335,78.42487469,Wheat,1
25.33178756,78.42754383,Wheat,1
25.32723676,78.43112994,Wheat,1
25.3263173,78.43279425,Mustard,2
25.32595334,78.43322005,Wheat,1
25.32614577,78.43742844,Wheat,1
25.32450352,78.43761586,Wheat,1
